python,cython
0.0002587, 0.000057
0.0002372, 0.000039
0.0002642, 0.000038
0.0002615, 0.000039
0.0002847, 0.000040
0.0002303, 0.000040
0.0002306, 0.000040
0.0002501, 0.000039
0.0002255, 0.000039
0.0002255, 0.000039
0.0120726, 0.002442
0.0115924, 0.002505
0.0114715, 0.002583
0.0115750, 0.002484
0.0112786, 0.002440
0.0111778, 0.002444
0.0111840, 0.002430
0.0111363, 0.002428
0.0111423, 0.002431
0.0111477, 0.002430
0.1503391, 0.030595
0.1475780, 0.030629
0.1483724, 0.030694
0.1482348, 0.030709
0.1492538, 0.030596
0.1485510, 0.030792
0.1472437, 0.030637
0.1487489, 0.030630
0.1484735, 0.030592
0.1483271, 0.030611
